serial, year, department, image, page
57,1707,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000116/178_1171133.jpg, http://www.artic.edu/aic/collections/artwork/497?search_no=1&index=8
58,1877,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000049/213_496250.jpg, http://www.artic.edu/aic/collections/artwork/885?search_no=1&index=9
59,1936,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000116/6145_1171043.jpg, http://www.artic.edu/aic/collections/artwork/145241?search_no=1&index=1
60,1709,3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000116/6594_1173633.jpg, http://www.artic.edu/aic/collections/artwork/153181?search_no=1&index=0
61,1892,3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000020/14048_249366.jpg, http://www.artic.edu/aic/collections/artwork/24908?search_no=1&index=1
62,1720,3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000022/58993_250192.jpg, http://www.artic.edu/aic/collections/artwork/113846?search_no=1&index=2
63,1899,3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000020/20534_249388.jpg, http://www.artic.edu/aic/collections/artwork/14498?search_no=1&index=4
64,1720,3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000024/21201_251173.jpg, http://www.artic.edu/aic/collections/artwork/74180?search_no=1&index=3
65,1895,3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000130/172511_1331203.jpg, http://www.artic.edu/aic/collections/artwork/94399?search_no=1&index=5
66,1895,3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000063/81724_563062.jpg, http://www.artic.edu/aic/collections/artwork/104297?search_no=1&index=6
67,1920,3, , http://www.artic.edu/aic/collections/artwork/14783?search_no=1&index=7
68,1650,3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000113/40533_1132134.jpg, http://www.artic.edu/aic/collections/artwork/20162?search_no=1&index=8
